outcome,ankle_angle_l,ankle_angle_r,arm_add_l,arm_add_r,arm_flex_l,arm_flex_r,arm_rot_l,arm_rot_r,elbow_flex_l,elbow_flex_r,hip_adduction_l,hip_adduction_r,hip_flexion_l,hip_flexion_r,hip_rotation_l,hip_rotation_r,knee_angle_l,knee_angle_r,lumbar_bending,lumbar_extension,lumbar_rotation,mtp_angle_l,mtp_angle_r,pelvis_list,pelvis_rotation,pelvis_tilt,pelvis_tx,pelvis_ty,pelvis_tz,pro_sup_l,pro_sup_r,subtalar_angle_l,subtalar_angle_r
made,-13.9622090375,-11.939114145,7.06640016,-6.8954595450000005,130.347729125,149.77422725,23.4298964125,50.6905130275,77.0565999825,5.204044595,-5.533787085,-6.694140497499999,10.022440405,4.6333495475,-7.0116356825,-21.2606218225,7.438986795,7.8897084175,-6.359401415,4.110805095,14.3929635625,0.0,0.0,-0.1307725725,9.7701725475,-10.820092339999999,1.7205124975000001,0.9191904325,-0.0706172625,87.0196300975,71.96555777500001,9.547342915,1.357486845
miss,-14.905516893999998,-13.833957848,9.805675272,-6.88242283,130.685317376,151.89528984600003,24.03066501,50.955872727999996,66.575162624,4.321969844,-5.682436732,-6.517770106,11.410302436,6.558306708000001,-6.883190442,-22.588941339999998,6.412737894,7.320417172000001,-6.10933304,3.2634084460000006,15.254179267999998,0.0,0.0,-0.48999803000000003,9.592293398,-11.841752152000002,1.714918908,0.9207280279999999,-0.064752072,82.754173244,63.780563830000006,9.198369992,2.328565734
